url_path,views_total,views_unique
/scilus/sf-pediatric,14,8
/scilus/sf-pediatric/blob/dev/assets/Docker/reconallclinical/nf-pediatric-freesurfer.Dockerfile,3,1
/scilus/sf-pediatric/issues,3,1
/scilus/sf-pediatric/actions/runs/21879052937,2,2
/scilus/sf-pediatric/issues/26,2,2
/scilus/sf-pediatric/pull/128,2,1
/scilus/sf-pediatric/pulls,2,1
/scilus/sf-pediatric/tree/dev,2,1
/scilus/sf-pediatric/actions/runs/18246150311,1,1
/scilus/sf-pediatric/actions/runs/20888235246/workflow,1,1
