time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-12 00:00:00+00:00,8,8,5,4
2026-06-13 00:00:00+00:00,6,6,2,2
2026-06-14 00:00:00+00:00,220,53,0,0
2026-06-15 00:00:00+00:00,6,5,6,2
2026-06-16 00:00:00+00:00,47,14,4,1
2026-06-17 00:00:00+00:00,5,5,32,3
2026-06-18 00:00:00+00:00,10,10,2,1
2026-06-19 00:00:00+00:00,4,4,17,1
2026-06-20 00:00:00+00:00,11,6,6,1
2026-06-21 00:00:00+00:00,8,4,0,0
2026-06-22 00:00:00+00:00,18,10,3,1
2026-06-23 00:00:00+00:00,160,57,29,3
2026-06-24 00:00:00+00:00,25,9,8,5
2026-06-25 00:00:00+00:00,34,11,21,3
