time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-10 00:00:00+00:00,10,6,1,1
2026-04-11 00:00:00+00:00,3,2,1,1
2026-04-12 00:00:00+00:00,5,4,0,0
2026-04-13 00:00:00+00:00,84,27,31,3
2026-04-14 00:00:00+00:00,9,3,27,5
2026-04-15 00:00:00+00:00,36,18,26,7
2026-04-16 00:00:00+00:00,32,13,10,3
2026-04-17 00:00:00+00:00,5,4,11,3
2026-04-18 00:00:00+00:00,2,1,2,2
2026-04-19 00:00:00+00:00,7,6,1,1
2026-04-20 00:00:00+00:00,80,35,35,4
2026-04-21 00:00:00+00:00,154,43,57,5
2026-04-22 00:00:00+00:00,292,85,134,7
2026-04-23 00:00:00+00:00,68,21,45,5
