time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,80,35,35,4
2026-04-21 00:00:00+00:00,154,43,57,5
2026-04-22 00:00:00+00:00,292,85,134,7
2026-04-23 00:00:00+00:00,68,21,45,5
2026-04-24 00:00:00+00:00,171,62,61,7
2026-04-25 00:00:00+00:00,11,10,0,0
2026-04-26 00:00:00+00:00,7,4,1,1
2026-04-27 00:00:00+00:00,77,26,2,1
2026-04-28 00:00:00+00:00,120,43,15,4
2026-04-29 00:00:00+00:00,37,15,32,6
2026-04-30 00:00:00+00:00,22,8,13,8
2026-05-01 00:00:00+00:00,51,8,12,6
2026-05-02 00:00:00+00:00,31,12,7,1
2026-05-03 00:00:00+00:00,33,13,8,2
